function,addr,addr_end,type,unit,name,name_for_id,usertype,decimals,description
3,1,,U16,,ID_baud,,int,0,
4,40000,,U16,,ID_sunspec,,int,0,
4,40001,,U16,,Length_sunspec,,int,0,
4,40002,,S16,A,Amps,,float,2,
4,40003,,S16,A,Amps Phase A,,float,2,
4,40004,,S16,A,Amps Phase B,,float,2,
4,40005,,S16,A,Amps Phase C,,float,2,
4,40006,,S16,,Current scale factor,,int,0,
4,40007,,U16,V,Voltage LN,,float,1,
4,40008,,U16,V,Phase Voltage AN,,float,1,
4,40009,,U16,V,Phase Voltage BN,,float,1,
4,40010,,U16,V,Phase Voltage CN,,float,1,
4,40011,,U16,V,Voltage LL,,float,1,
4,40012,,U16,V,Phase Voltage AB,,float,1,
4,40013,,U16,V,Phase Voltage BC,,float,1,
4,40014,,U16,V,Phase Voltage CA,,float,1,
4,40015,,S16,,Voltage scale factor,,int,0,
4,40016,,U16,Hz,Frequency,,float,2,
4,40017,,S16,,Frequency scale factor,,int,0,
4,40018,,U16,W,Total Real Power,,float,1,
4,40019,,U16,W,Watts phase A,,float,1,
4,40020,,U16,W,Watts phase B,,float,1,
4,40021,,U16,W,Watts phase C,,float,1,
4,40022,,S16,,Real Power Scale Factor,,int,0,
4,40023,,U16,VA,VA,,float,1,
4,40024,,U16,VA,VA phase A,,float,1,
4,40025,,U16,VA,VA phase B,,float,1,
4,40026,,U16,VA,VA phase C,,float,1,
4,40027,,S16,,Apparent Power scale factor,,int,0,
4,40028,,U16,VAR,VAR,,float,1,
4,40029,,U16,VAR,VAR phase A,,float,1,
4,40030,,U16,VAR,VAR phase B,,float,1,
4,40031,,U16,VAR,VAR phase C,,float,1,
4,40032,,S16,,VAR_SF,,int,0,
4,40033,,U16,Pct,PF ,,float,2,
4,40034,,U16,Pct,PF phase A,,float,2,
4,40035,,U16,Pct,PF phase B,,float,2,
4,40036,,U16,Pct,PF phase C,,float,2,
4,40037,,S16,,Power Factor scale factor,,int,0,
4,40038,,S32,Wh,TotWhExp,,float,1,
4,40040,,S32,Wh,TotWhExpPhA,,float,1,
4,40042,,S32,Wh,TotWhExpPhB,,float,1,
4,40044,,S32,Wh,TotWhExpPhC,,float,1,
4,40046,,S32,Wh,TotWhImp,,float,1,
4,40048,,S32,Wh,TotWhImpPhA,,float,1,
4,40050,,S32,Wh,TotWhImpPhB,,float,1,
4,40052,,S32,Wh,TotWhImpPhC,,float,1,
4,40054,,S16,,Real Energy scale factor,,int,0,
4,40055,,S32,Vah,TotVAhExp,,float,1,
4,40057,,S32,Vah,TotVAhExpPhA,,float,1,
4,40059,,S32,Vah,TotVAhExpPhB,,float,1,
4,40061,,S32,Vah,TotVAhExpPhC,,float,1,
4,40063,,S32,Vah,TotVAhImp,,float,1,
4,40065,,S32,Vah,TotVAhImpPhA,,float,1,
4,40067,,S32,Vah,TotVAhImpPhB,,float,1,
4,40069,,S32,Vah,TotVAhImpPhC,,float,1,
4,40071,,S16,,Apparent Energy scale factor,,int,0,
4,40072,,S32,varh,TotVArhImpQ1,,float,1,
4,40074,,S32,varh,TotVArhImpQ1PhA,,float,1,
4,40076,,S32,varh,TotVArhImpQ1PhB,,float,1,
4,40078,,S32,varh,TotVArhImpQ1PhC,,float,1,
4,40080,,S32,varh,TotVArhImpQ2,,float,1,
4,40082,,S32,varh,TotVArhImpQ2PhA,,float,1,
4,40084,,S32,varh,TotVArhImpQ2PhB,,float,1,
4,40086,,S32,varh,TotVArhImpQ2PhC,,float,1,
4,40088,,S32,varh,TotVArhImpQ3,,float,1,
4,40090,,S32,varh,TotVArhImpQ3PhA,,float,1,
4,40092,,S32,varh,TotVArhImpQ3PhB,,float,1,
4,40094,,S32,varh,TotVArhImpQ3PhC,,float,1,
4,40096,,S32,varh,TotVArhImpQ4,,float,1,
4,40098,,S32,varh,TotVArhImpQ4PhA,,float,1,
4,40100,,S32,varh,TotVArhImpQ4PhB,,float,1,
4,40102,,S32,varh,TotVArhImpQ4PhC,,float,1,
4,40104,,S16,,TotVArh_SF,,int,0,
4,40105,40107,U16,,Evt,,int,0,
3,40108,,U16,,Allows clearing of energy flags,,int,0,
3,40109,,U16,,Clear all power,,int,0,
4,40110,,U16,,A phase volt THD,,float,1,
4,40111,,U16,,B phase volt THD,,float,1,
4,40112,,U16,,C phase volt THD,,float,1,
4,40113,,U16,,A phase Curr THD,,float,1,
4,40114,,U16,,B phase Curr THD,,float,1,
4,40115,,U16,,C phase Curr THD,,float,1,
4,40117,,U16,,Barcode A,,int,0,
4,40118,,U16,,Barcode B,,int,0,
4,40119,,U16,,Barcode C,,int,0,
4,40120,,U16,,Version,,int,0,
4,40121,,U16,,Software Identification Number,,int,0,
